252,208,66,33
951,214,48,22
1011,213,39,23
1061,214,82,27
1154,214,62,27
1227,214,79,22
1317,214,64,22
251,252,151,28
951,257,166,30
1129,258,44,22
1183,258,79,22
252,291,179,43
951,301,70,29
1032,301,123,22
252,339,185,28
951,459,136,23
1096,460,39,27
1146,460,65,22
251,537,45,22
309,537,67,22
386,536,102,23
251,574,127,23
389,575,97,29
495,575,117,29
622,574,103,23
251,613,82,23
344,613,30,23
378,613,40,23
429,614,97,29
536,614,117,29
663,613,103,23
250,652,56,22
319,652,155,29
484,651,30,23
520,651,88,23
251,690,47,22
309,689,177,30
495,690,109,27
615,690,54,22
251,728,166,30
429,729,44,22
483,729,81,22
251,805,63,22
324,805,45,22
382,804,110,23
351,882,39,22
399,881,86,23
491,881,30,23
525,881,41,23
577,882,156,29
743,881,29,23
779,881,88,23
878,881,97,23
984,881,112,30
1104,881,117,23
1231,882,71,29
1311,882,85,29
1407,889,37,15
249,919,75,23
333,927,48,22
391,919,38,23
437,919,84,30
528,919,40,23
577,919,59,23
645,922,25,20
680,922,65,20
753,919,59,23
821,927,28,15
860,927,32,15
902,919,159,30
1082,920,43,22
1136,927,59,22
1203,919,74,23
1287,919,134,30
249,958,40,23
300,958,154,30
462,961,25,20
498,958,94,23
602,966,61,22
672,958,168,23
847,961,25,20
883,958,147,30
1039,958,83,23
1132,958,150,23
1291,958,47,23
250,996,153,23
413,999,23,20
443,996,40,23
494,997,157,29
660,996,47,23
717,1004,43,15
769,996,153,30
932,996,39,23
980,1004,66,22
1055,999,26,20
1092,996,97,23
1198,996,40,23
1249,997,178,29
251,1035,69,22
329,1034,137,23
475,1034,89,30
351,1112,34,22
396,1119,48,22
453,1111,80,28
543,1111,40,23
594,1111,83,23
688,1111,30,23
722,1111,40,23
773,1112,123,29
905,1111,103,23
1019,1112,79,29
1109,1111,126,23
1245,1111,114,30
1370,1111,76,23
250,1149,59,23
317,1149,40,23
368,1150,178,29
556,1149,117,30
682,1149,30,23
718,1149,83,23
811,1149,150,23
970,1149,47,23
1026,1149,153,23
1188,1145,163,34
1372,1150,34,22
251,1188,144,23
405,1188,64,23
478,1196,37,15
526,1188,133,28
669,1196,38,15
716,1196,58,22
783,1188,40,23
834,1189,156,29
998,1191,25,20
1034,1191,69,20
1111,1188,40,23
1161,1188,129,30
1299,1188,101,23
1411,1188,25,23
251,1226,147,23
408,1226,59,23
475,1226,40,23
526,1227,80,22
616,1226,235,23
863,1226,46,23
919,1226,173,23
351,1314,12,12
401,1306,121,23
532,1314,14,15
553,1306,64,23
628,1306,29,23
663,1306,116,30
791,1306,133,30
934,1306,30,23
969,1306,188,23
1167,1306,53,30
1229,1309,42,20
1279,1306,153,30
401,1344,156,30
567,1344,91,23
668,1344,39,23
716,1344,84,23
809,1344,150,23
968,1344,47,23
1024,1344,153,23
1185,1347,25,20
1220,1344,56,30
1287,1344,149,23
400,1390,127,22
539,1390,80,15
628,1382,40,23
679,1377,175,35
873,1383,35,22
919,1390,14,15
941,1385,81,20
1032,1382,181,30
1222,1385,80,27
1312,1382,81,23
1402,1382,33,30
399,1420,40,23
450,1421,82,22
543,1420,146,23
700,1428,32,15
742,1420,130,30
881,1420,47,23
938,1421,165,22
1113,1420,100,23
1222,1416,131,32
1362,1420,40,23
401,1459,88,23
500,1460,156,29
665,1459,20,23
696,1467,46,15
753,1459,29,23
787,1459,40,23
837,1459,49,23
895,1459,91,23
997,1459,112,30
1118,1459,51,23
1178,1459,66,23
1255,1467,30,15
1295,1467,103,22
400,1497,63,23
472,1497,64,23
547,1497,30,23
582,1497,124,30
727,1498,44,22
781,1497,94,23
884,1497,51,23
942,1497,48,23
1001,1497,150,23
1159,1500,25,20
1194,1497,39,23
1245,1497,64,23
251,1588,6,12
266,1591,51,19
325,1591,53,23
387,1591,145,25
539,1590,103,26
649,1590,162,24
823,1590,38,20
868,1590,106,26
982,1590,26,26
1010,1590,74,20
1089,1590,133,20
1228,1590,43,20
1275,1591,136,19
248,1622,129,26
384,1622,26,26
416,1623,134,25
557,1622,22,26
583,1622,77,26
670,1623,138,25
816,1622,58,26
883,1622,69,26
962,1622,101,20
1072,1625,22,17
254,1650,112,34
371,1654,75,26
449,1654,338,26
748,1650,44,34
250,1684,8,12
266,1687,20,19
293,1686,52,20
355,1686,24,20
384,1686,98,26
490,1686,73,20
570,1686,25,20
604,1686,50,20
662,1686,21,20
691,1686,131,26
829,1686,49,20
885,1686,32,20
925,1686,95,26
1028,1686,80,24
1116,1689,36,17
1160,1686,20,20
1188,1686,41,20
1237,1686,24,20
1266,1686,59,20
1342,1687,38,19
254,1718,1166,26
249,1750,96,26
351,1757,16,13
383,1746,93,34
491,1746,164,34
672,1751,4,19
685,1751,99,19
794,1751,46,23
850,1751,77,19
936,1750,77,26
1030,1750,96,20
1134,1750,32,20
1174,1750,95,26
1277,1750,73,20
251,1782,98,20
358,1782,77,20
443,1782,41,20
492,1782,74,20
574,1785,54,17
635,1782,93,20
736,1782,60,20
803,1782,108,26
920,1789,38,19
966,1782,128,20
1102,1782,59,26
1169,1789,21,13
1198,1782,32,20
1240,1782,126,26
1371,1782,37,26
259,1814,44,20
312,1821,22,13
342,1814,129,26
479,1814,91,26
580,1821,11,13
598,1814,53,20
660,1814,24,20
689,1814,98,26
795,1814,44,20
847,1814,84,26
941,1814,90,20
1040,1814,39,20
1087,1817,92,23
1188,1814,129,26
1326,1814,77,20
1412,1814,31,20
251,1846,55,24
315,1846,84,26
407,1846,51,20
467,1846,114,26
588,1849,21,17
617,1846,94,20
250,1876,7,12
267,1878,121,20
397,1885,27,13
432,1878,109,26
548,1878,39,20
595,1879,138,19
740,1878,90,24
839,1879,46,19
895,1879,69,19
974,1878,24,20
1003,1878,181,26
1196,1875,54,23
1257,1879,71,25
1339,1878,73,20
1419,1878,26,26
249,1910,112,20
369,1911,121,25
497,1910,74,20
576,1910,133,20
715,1912,20,18
744,1910,31,20
783,1910,89,20
882,1910,115,26
1007,1910,42,20
1053,1911,41,19
1100,1910,89,20
1194,1911,118,25
1321,1910,52,26
1386,1911,30,23
251,1941,69,26
330,1941,101,20
440,1944,22,17
468,1941,965,26
255,1973,119,26
